 	 	 	  65~70세	 2	 111
 	 	 	  71세이상	 9	 100
 	 	 	  불명	 -	 1
 	  강서구	 합계	 소계	 13	 2,042
 	 	 	  12세이하	 -	 71
 	 	 	  13~20세	 -	 121
 	 	 	  21~30세	 4	 412
 	 	 	  31~40세	 1	 422
 	 	 	  41~50세	 1	 347
 	 	 	  51~60세	 -	 326
 	 	 	  61-64세	 -	 105
 	 	 	  65~70세	 1	 124
 	 	 	  71세이상	 6	 114
 	 	 	  불명	 -	 -
 	  구로구	 합계	 소계	 9	 1,729
 	 	 	  12세이하	 -	 36
 	 	 	  13~20세	 -	 74
 	 	 	  21~30세	 -	 337
 	 	 	  31~40세	 3	 346
 	 	 	  41~50세	 -	 327
 	 	 	  51~60세	 1	 294
 	 	 	  61-64세	 -	 99
 	 	 	  65~70세	 1	 107
 	 	 	  71세이상	 4	 109
 	 	 	  불명	 -	 -
 	  금천구	 합계	 소계	 16	 1,167
 	 	 	  12세이하	 -	 49
 	 	 	  13~20세	 1	 48
 	 	 	  21~30세	 3	 218
 	 	 	  31~40세	 1	 221
 	 	 	  41~50세	 -	 206
 	 	 	  51~60세	 3	 215
 	 	 	  61-64세	 2	 86
 	 	 	  65~70세	 2	 68
 	 	 	  71세이상	 4	 56
 	 	 	  불명	 -	 -
 	  영등포구	 합계	 소계	 15	 2,967
 	 	 	  12세이하	 1	 96
 	 	 	  13~20세	 -	 113
 	 	 	  21~30세	 2	 610
 	 	 	  31~40세	 2	 656
 	 	 	  41~50세	 -	 512
 	 	 	  51~60세	 3	 520
 	 	 	  61-64세	 1	 168
 	 	 	  65~70세	 2	 154
 	 	 	  71세이상	 4	 137
 	 	 	  불명	 -	 1
 	  동작구	 합계	 소계	 11	 1,520
 	 	 	  12세이하	 -	 39
 	 	 	  13~20세	 -	 80
 	 	 	  21~30세	 -	 333
 	 	 	  31~40세	 -	 345
 	 	 	  41~50세	 1	 252
 	 	 	  51~60세	 2	 230
 	 	 	  61-64세	 -	 82
 	 	 	  65~70세	 3	 77
 	 	 	  71세이상	 5	 82
 	 	 	  불명	 -	 -
 	  관악구	 합계	 소계	 8	 1,829
 	 	 	  12세이하	 -	 39
 	 	 	  13~20세	 -	 83
 	 	 	  21~30세	 -	 478
 	 	 	  31~40세	 4	 387
 	 	 	  41~50세	 1	 333
 	 	 	  51~60세	 1	 227
 	 	 	  61-64세	 -	 93
 	 	 	  65~70세	 -	 88
 	 	 	  71세이상	 2	 101
 	 	 	  불명	 -	 -
 	  서초구	 합계	 소계	 8	 2,932
 	 	 	  12세이하	 -	 64
 	 	 	  13~20세	 -	 98
 	 	 	  21~30세	 1	 620
 	 	 	  31~40세	 2	 658
 	 	 	  41~50세	 1	 570
 	 	 	  51~60세	 1	 484
 	 	 	  61-64세	 -	 166
 	 	 	  65~70세	 2	 162
 	 	 	  71세이상	 1	 110
 	 	 	  불명	 -	 -
 	  강남구	 합계	 소계	 10	 5,175
 	 	 	  12세이하	 -	 95
 	 	 	  13~20세	 -	 178
 	 	 	  21~30세	 3	 1,159
 	 	 	  31~40세	 1	 1,322
 	 	 	  41~50세	 2	 1,044
 	 	 	  51~60세	 2	 752
 	 	 	  61-64세	 -	 241
 	 	 	  65~70세	 1	 229
 	 	 	  71세이상	 1	 155
 	 	 	  불명	 -	 -
 	  송파구	 합계	 소계	 14	 3,509
 	 	 	  12세이하	 -	 106
 	 	 	  13~20세	 -	 177
 	 	 	  21~30세	 1	 714
 	 	 	  31~40세	 1	 779
 	 	 	  41~50세	 3	 614
 	 	 	  51~60세	 2	 552
 	 	 	  61-64세	 1	 217
 	 	 	  65~70세	 1	 198
 	 	 	  71세이상	 5	 152
 	 	 	  불명	 -	 -
 	  강동구	 합계	 소계	 9	 1,413
 	 	 	  12세이하	 -	 47
 	 	 	  13~20세	 -	 74
 	 	 	  21~30세	 1	 257
 	 	 	  31~40세	 2	 263
 	 	 	  41~50세	 -	 262
 	 	 	  51~60세	 2	 246
 	 	 	  61-64세	 -	 74
 	 	 	  65~70세	 2	 82
 	 	 	  71세이상	 2	 108
 	 	 	  불명	 -	 -
